id,calories,proteins,fat,carbohydrate,name,kategori,protein_density,fat_ratio,pct_cal_from_fat,pct_cal_from_protein,pct_cal_from_carb,risiko_kolesterol,is_recommended
1,280.0,9.2,28.4,0.0,Abon,Tinggi Lemak,0.0327,0.1011,90.96,13.1,0.0,2,0
2,513.0,23.7,37.0,21.3,Abon Haruwan,Tinggi Protein & Lemak,0.0461,0.072,64.79,18.44,16.58,2,0
3,0.0,0.0,0.2,0.0,Agar-Agar,Rendah Lemak & Karbo,0.0,0.2,180.0,0.0,0.0,0,0
4,45.0,1.1,0.4,10.8,Akar Tonjong Segar,Rendah Lemak & Karbo,0.0239,0.0087,7.83,9.57,93.91,0,0
5,37.0,4.4,0.5,3.8,Aletoge Segar,Rendah Lemak & Karbo,0.1158,0.0132,11.84,46.32,40.0,0,0
6,85.0,0.9,6.5,7.7,Alpukat Segar,Sedang,0.0105,0.0756,68.02,4.19,35.81,0,0
7,96.0,3.7,0.6,19.1,Ampas Kacang Hijau,Rendah Lemak,0.0381,0.0062,5.57,15.26,78.76,0,0
8,414.0,26.6,18.3,41.3,Ampas Tahu,Tinggi Protein & Lemak,0.0641,0.0441,39.69,25.64,39.81,2,0
9,75.0,4.1,2.1,10.7,Ampas Tahu Kukus,Rendah Lemak & Karbo,0.0539,0.0276,24.87,21.58,56.32,0,0
10,67.0,5.0,2.1,8.1,Ampas Tahu Mentah,Rendah Lemak & Karbo,0.0735,0.0309,27.79,29.41,47.65,0,1
11,184.0,18.8,14.0,0.0,Anak Sapi Daging Gemuk Segar,Sedang,0.1016,0.0757,68.11,40.65,0.0,1,0
12,174.0,19.6,10.0,0.0,Anak Sapi Daging Kurus Segar,Sedang,0.112,0.0571,51.43,44.8,0.0,1,1
13,190.0,19.1,12.0,0.0,Anak Sapi Daging Sedang Segar,Sedang,0.1,0.0628,56.54,40.0,0.0,1,0
14,99.0,4.6,1.0,18.0,Andaliman Segar,Rendah Lemak,0.046,0.01,9.0,18.4,72.0,0,0
15,25.0,1.6,0.2,5.3,Andewi,Rendah Lemak & Karbo,0.0615,0.0077,6.92,24.62,81.54,0,0
16,30.0,0.5,0.2,6.8,Anggur Hutan Segar,Rendah Lemak & Karbo,0.0161,0.0065,5.81,6.45,87.74,0,0
17,354.0,16.4,31.5,0.0,Angsa,Tinggi Protein & Lemak,0.0462,0.0887,79.86,18.48,0.0,2,0
18,126.0,3.4,7.9,10.3,Anyang Sayur,Sedang,0.0268,0.0622,55.98,10.71,32.44,0,0
19,58.0,0.3,0.4,14.9,Apel,Rendah Lemak & Karbo,0.0051,0.0068,6.1,2.03,101.02,0,0
20,57.0,0.5,0.4,12.8,Apel Malang Segar,Rendah Lemak & Karbo,0.0086,0.0069,6.21,3.45,88.28,0,0
21,37.0,0.8,0.5,8.3,Arbei,Rendah Lemak & Karbo,0.0211,0.0132,11.84,8.42,87.37,0,0
22,113.0,0.9,7.2,11.2,Ares Sayur,Sedang,0.0079,0.0632,56.84,3.16,39.3,0,0
23,102.0,1.0,0.2,24.1,Arrowroot Segar,Rendah Lemak,0.0097,0.0019,1.75,3.88,93.59,0,0
24,277.0,2.4,25.0,10.7,Arwan Sirsir,Tinggi Lemak,0.0086,0.0899,80.94,3.45,15.4,2,0
25,75.0,0.2,1.1,16.1,Asam Kandis Segar,Rendah Lemak,0.0026,0.0145,13.03,1.05,84.74,0,0
26,239.0,2.8,0.6,62.5,Asam Masak Di Pohon,Rendah Lemak,0.0117,0.0025,2.25,4.67,104.17,0,0
27,135.0,0.8,0.4,32.1,Asam Payak Segar,Rendah Lemak,0.0059,0.0029,2.65,2.35,94.41,0,0
28,261.0,0.9,1.6,63.3,Asan Kandis Kering,Rendah Lemak,0.0034,0.0061,5.5,1.37,96.64,0,0
29,98.0,3.9,2.6,14.8,Asinan Bogor Sayuran,Rendah Lemak & Karbo,0.0394,0.0263,23.64,15.76,59.8,0,0
30,302.0,18.2,25.0,0.0,Ayam,Tinggi Protein & Lemak,0.0601,0.0825,74.26,24.03,0.0,2,0
31,297.0,35.9,15.2,1.6,Ayam  Goreng Kentuckysayap,Tinggi Protein & Lemak,0.1205,0.051,45.91,48.19,2.15,2,0
32,270.0,32.3,11.2,9.9,Ayam Ampela Goreng,Sedang,0.1192,0.0413,37.2,47.68,14.61,1,0
33,75.0,13.8,1.9,0.7,Ayam Dideh/Darah Segar,"Tinggi Protein, Rendah Lemak",0.1816,0.025,22.5,72.63,3.68,0,1
34,295.0,34.0,16.0,1.5,Ayam Goreng Church Texa Sayap,Tinggi Protein & Lemak,0.1149,0.0541,48.65,45.95,2.03,2,0
35,338.0,35.2,20.6,0.4,Ayam Goreng Church Texas Dada,Tinggi Protein & Lemak,0.1038,0.0608,54.69,41.53,0.47,2,0
36,275.0,37.4,12.2,1.3,Ayam Goreng Kalasan Paha,Sedang,0.1355,0.0442,39.78,54.2,1.88,1,0
37,298.0,34.2,16.8,0.1,Ayam Goreng Kentucky Dada,Tinggi Protein & Lemak,0.1144,0.0562,50.57,45.75,0.13,2,0
38,286.0,32.1,16.1,1.1,Ayam Goreng Kentucky Paha,Tinggi Protein & Lemak,0.1118,0.0561,50.49,44.74,1.53,2,0
39,295.0,39.2,13.6,1.0,Ayam Goreng Mbok Berek Dada,Sedang,0.1324,0.0459,41.35,52.97,1.35,1,0
40,287.0,31.0,15.7,1.7,Ayam Goreng Paha,Tinggi Protein & Lemak,0.1076,0.0545,49.06,43.06,2.36,2,0
